r_id,r_name,old_cat,parent_cat,subcategory,classification_notes,additional_info,link
Causative agent of,Causative agent of (SNOMED),ATTRIBUTE,Attribute,Etiology,"All listed as ""Clinical Finding and Disorder""","identifies an organism, substance, physical object, physical force, and/or pharmaceutical/biological product as the direct cause of a condition",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#causative-agent
Caused by,Caused by (SNOMED),INTERACTION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Causes,Causes (SNOMED),INTERACTION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
CD category of,Controlled drug cathehory of (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Chapter has Category,Chapter has Category,ATTRIBUTE,,,,,
Chapter to ICDO,Chapter to ICDO,MAPS_TO,,,,,
Characterizes,Characterizes (SNOMED),ATTRIBUTE,Attribute,Observation,,"Specifies the process which the property describes, and on which the property (of this observable) depends",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#characterizes
Chem structure of,Chemical structure of (NDF-RT),ATTRIBUTE,,,,,
Chem to Prep eq,Chemical Structure to Pharmaceutical Preparation equivalent (NDF-RT),MAPS_TO,Identity,Vocab Mapping,,,
CI by,Contraindicated by (NDF-RT),INTERACTION,,,,,
CI chem class of,Contraindicating chemical class of (NDF-RT),INTERACTION,,,,,
CI MoA of,Contraindicating mechanism of action of (NDF-RT),INTERACTION,,,,,
CI physiol effect by,Contraindicating physiological effect induced by (NDF-RT),INTERACTION,,,,,
CI to,Contraindication to (NDF-RT),INTERACTION,,,,,
Clinical course of,Has clinical course of (SNOMED),ATTRIBUTE,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""",used to represent both the course and onset of a disease or condition,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#clinical-course
CMS Specialty - NUCC,CMS Specialty to NUCC (CMS),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Coating material of,Coating material of (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the material with which an object is coated,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-coating-material
Combi prod ind of,Combination product indicator of (DM+D),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Comp material of,Compositional material of (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the site where the device is intended to reside in or on the body.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-compositional-material
Component of,Component of,COMPOSITION,,,,,
Conc denom unit of,Concentration strength denominator unit of (SNOMED),ATTRIBUTE,,,,,
Conc denom val of,Concentration strength denominator value of (SNOMED),ATTRIBUTE,,,,,
Conc num unit of,Concentration strength numerator unit of (SNOMED),ATTRIBUTE,,,,,
Conc num val of,Concentration strength numerator value of (SNOMED),ATTRIBUTE,,,,,
Concept alt_to from,Active alternative_to inactive (SNOMED),MAPS_FROM,,,,,
Concept alt_to to,Inactive alternative_to active (SNOMED),MAPS_TO,,,,,
Concept poss_eq from,Active possibly_equivalent_to inactive (SNOMED),MAPS_FROM,Uncategorised,,"This decision was taken based on multiple erroneous ""Maps to"" relationships, previously built from ""Concept poss_eq to"" (because in many cases one from many was chosen randomly).",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Known-Issues-in-Vocabularies#snomed
Concept poss_eq to,Inactive possibly_equivalent_to active (SNOMED),MAPS_TO,Uncategorised,,"This decision was taken based on multiple erroneous ""Maps to"" relationships, previously built from ""Concept poss_eq to"" (because in many cases one from many was chosen randomly).",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Known-Issues-in-Vocabularies#snomed
Concept replaced by,Concept replaced by,VERSIONING,Identity,Versioning,,,
Concept replaces,Concept replaces,VERSIONING,Identity,Versioning,,,
Concept same_as from,Active same_as inactive (SNOMED),MAPS_FROM,,,,,
Concept same_as to,Inactive same_as active (SNOMED),MAPS_TO,,,,,
Concept was_a from,Active was_a inactive (SNOMED),VERSIONING,Identity,Versioning,,,
Concept was_a to,Inactive was_a active (SNOMED),VERSIONING,Identity,Versioning,,,
Consists of,Consists of (RxNorm),COMPOSITION,Composition,Ingredient,,Links a drug to its components (e.g. multi-component drugs).,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Constitutes,Constitutes (RxNorm),COMPOSITION,Composition,Ingredient,,Links a component back to the whole drug.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Contained in,Is contained in (RxNorm),COMPOSITION,Composition,Packaging,,Links contents to their parent Pack/Kit.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Contained in panel,Contained in panel,COMPOSITION,,,,,
Contained in version,Table/field contained in OMOP CDM Version (OMOP),COMPOSITION,Uncategorised,Versioning,Not categorised as deemd unimportant,,
Contains,Contains (RxNorm),COMPOSITION,Composition,Packaging,,Links a Pack/Kit to its contents.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Context of,Context of (HemOnc),ATTRIBUTE,,,,,
Count of act ing in,Is count of active ingredients in (SNOMED),COMPOSITION,,,,,
Count of ing of,Count of base of active ingredient of (SNOMED),COMPOSITION,,,,,
CPT4 - CVX eq,CPT4 to CVX equivalent (CVX),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
CPT4 - LOINC eq,CPT4 to LOINC equivalent (SNOMED),MAPS_TO,Identity,Vocab Mapping,,,
CPT4 - SNOMED cat,CPT-4 to SNOMED category (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
CPT4 - SNOMED eq,CPT-4 to SNOMED equivalent (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
Curr adult indic for,Current adult indication for (HemOnc),UNCATEGORISED,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Curr ped indic for,Current pediatric indication for (HemOnc),UNCATEGORISED,Attribute,Regulatory,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Current treated by,Currently treated by (HemOnc),INTERACTION,Uncategorised,Uncategorised,Unused in OMOP CDM,,
CVX - CPT4 eq,CVX to CPT4 equivalent (CVX),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
CVX - RxNorm,CVX - RxNorm (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
Cytotox chemo RX of,Cytotoxic chemotherapy of - RxNorm (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Cytotoxic chemo of,Cytotoxic chemotherapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Date of variable,Date of variable (NAACCR),UNCATEGORISED,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Denom value of,Presentation strength denominator value of (SNOMED),ATTRIBUTE,,,,,
Denominator unit of,Presentation strength denominator unit of (SNOMED),ATTRIBUTE,,,,,
Dev intended site of,Device intended site of (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the site where the device is intended to reside in or on the body.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-device-intended-site
Device used by,Device used by (SNOMED),METADATA,Attribute,Device,,,
Diagnosed through,Diagnosed through (NDF-RT),INTERACTION,,,,,
Dir device of,Direct device of (SNOMED),ATTRIBUTE,Attribute,Device,,Direct device (attribute) represents the device on which the method directly acts.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-device
Dir morph of,Direct morphology of (SNOMED),ATTRIBUTE,Attribute,Morphology,,Direct morphology (attribute) describes the morphologically abnormal structure that is the direct object of the Method action.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-morphology
